model_type,BERT_small_adapter_inf,0,0,0,0,0,0,0
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,512,512,512,32,512,0,0,"head concat,"
32,512,512,32,32,32,0,0,"adapter 1-1,"
32,32,32,512,32,512,0,0,"adapter 1-2,"
32,512,512,2048,32,2048,0,0,"ff1,"
32,2048,2048,512,32,512,0,0,"ff2,"
32,512,512,32,32,32,0,0,"adapter 2-1,"
32,32,32,512,32,512,0,0,"adapter 2-2,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,512,512,512,32,512,0,0,"head concat,"
32,512,512,32,32,32,0,0,"adapter 1-1,"
32,32,32,512,32,512,0,0,"adapter 1-2,"
32,512,512,2048,32,2048,0,0,"ff1,"
32,2048,2048,512,32,512,0,0,"ff2,"
32,512,512,32,32,32,0,0,"adapter 2-1,"
32,32,32,512,32,512,0,0,"adapter 2-2,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,512,512,512,32,512,0,0,"head concat,"
32,512,512,32,32,32,0,0,"adapter 1-1,"
32,32,32,512,32,512,0,0,"adapter 1-2,"
32,512,512,2048,32,2048,0,0,"ff1,"
32,2048,2048,512,32,512,0,0,"ff2,"
32,512,512,32,32,32,0,0,"adapter 2-1,"
32,32,32,512,32,512,0,0,"adapter 2-2,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,512,512,512,32,512,0,0,"K,Q,V projection,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,128,128,32,32,32,1,1,"K.Q,"
32,32,32,128,32,128,1,0,"KQT softmax * V,"
32,512,512,512,32,512,0,0,"head concat,"
32,512,512,32,32,32,0,0,"adapter 1-1,"
32,32,32,512,32,512,0,0,"adapter 1-2,"
32,512,512,2048,32,2048,0,0,"ff1,"
32,2048,2048,512,32,512,0,0,"ff2,"
32,512,512,32,32,32,0,0,"adapter 2-1,"
32,32,32,512,32,512,0,0,"adapter 2-2,"
32,512,512,2,32,2,0,1,"output weight projection,"
