input token length,input hidden dim,weight height,weight hidden width,output height,output width,operation type,followed by softmax,operation description
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,768,768,768,32,768,0,0,"head concat,"
32,768,768,3072,32,3072,0,0,"ff1,"
32,3072,3072,768,32,768,0,0,"ff2,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,768,768,768,32,768,0,0,"head concat,"
32,768,768,3072,32,3072,0,0,"ff1,"
32,3072,3072,768,32,768,0,0,"ff2,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,768,768,768,32,768,0,0,"head concat,"
32,768,768,3072,32,3072,0,0,"ff1,"
32,3072,3072,768,32,768,0,0,"ff2,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,768,768,768,32,768,0,0,"K,Q,V projection,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,192,192,32,32,32,1,1,"K.Q,"
32,32,32,192,32,192,1,0,"KQT softmax * V,"
32,768,768,768,32,768,0,0,"head concat,"
32,768,768,3072,32,3072,0,0,"ff1,"
32,3072,3072,768,32,768,0,0,"ff2,"
32,768,768,2,32,2,0,1,"output weight projection,"
